title,rating,ratingDescription,release year,user rating score
Bunks,TV-PG,70,2013,NA
The Jungle Book,PG,60,2016,97
The Angry Birds Movie,PG,60,2016,92
The Secret Life of Pets,PG,60,2016,NA
The Furchester Hotel,TV-Y,10,2015,NA
Marvel's Hulk: Where Monsters Dwell,PG,60,2016,NA
Angry Birds,TV-G,35,2013,NA
Talking Tom and Friends,TV-G,35,2016,61
Nexo Knights,TV-Y7-FV,42,2015,NA
The Nightmare Before Christmas,PG,60,1993,84
An Extremely Goofy Movie,G,35,1999,67
Scooby-Doo,PG,60,2002,86
The Iron Giant,PG,60,1999,83
Star Wars: The Clone Wars,PG,60,2008,57
Cars Toons: Mater's Tall Tales,TV-G,35,2010,74
The Batman,TV-Y7,41,2007,77
Justice League,TV-Y7-FV,42,2003,66
Justice League Unlimited,TV-Y7-FV,42,2005,NA
The Cat in the Hat Knows a Lot About That!,TV-Y,10,2014,NA
Mighty Morphin Power Rangers,TV-Y7-FV,42,2010,73
Bob the Builder,TV-Y,10,2015,NA
Beyblade: Metal Fusion,TV-Y7,41,2009,NA
Ninja Turtles: The Next Mutation,TV-Y7-FV,42,1997,NA
Transformers Prime,TV-Y7-FV,42,2013,NA
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,70,2008,NA
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,42,2015,67
Transformers: Rescue Bots,TV-Y7,41,2016,NA
Goosebumps,TV-Y7,41,1998,88
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,42,2011,NA
Super Buddies,G,35,2013,NA
Tad: The Lost Explorer,TV-PG,70,2012,NA
Pok̩mon: Indigo League,TV-Y,10,2000,74
Ratchet and Clank,PG,60,2016,74
Pac-Man and the Ghostly Adventures,TV-Y7,41,2014,NA
Iron Man & Captain America: Heroes United,PG,60,2014,NA
Power Rangers Super Megaforce,TV-Y7,41,2014,NA
Chuggington,TV-Y,10,2015,NA
All Hail King Julien,TV-Y7-FV,42,2016,71
The Adventures of Puss in Boots,TV-Y7-FV,42,2016,78
Kong: King of the Apes,TV-Y7-FV,42,2016,NA
Marvel Super Hero Adventures: Frost Fight!,PG,60,2015,NA
Some Assembly Required,TV-G,35,2015,NA
Dinotrux,TV-Y7-FV,42,2017,NA
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,42,2017,NA
Kulipari: An Army of Frogs,TV-Y7-FV,42,2016,NA
Transformers: Robots in Disguise,TV-Y7,41,2016,NA
Robocar Poli,TV-Y,10,2012,NA
LEGO Bionicle: The Journey to One,TV-Y7-FV,42,2016,NA
Lego DC Comics: Batman Be-Leaguered,TV-Y7,41,2014,NA
Voltron: Legendary Defender,TV-Y7-FV,42,2017,NA
Trollhunters,TV-Y7-FV,42,2016,83
Buddy Thunderstruck,TV-PG,70,2017,NA
Power Rangers Dino Charge,TV-Y7,41,2015,NA
Pok̩mon: XY,TV-Y7-FV,42,2015,56
Power Rangers Dino Super Charge,TV-Y7,41,2016,NA
The Deep,TV-Y7,41,2015,NA
Skylanders Academy,TV-Y7,41,2016,NA
Marvel's Hulk: Where Monsters Dwell,PG,60,2016,NA
Growing Up Wild,G,35,2016,80
The Little Rascals,PG,60,1994,86
Flubber,PG,60,1997,83
Tarzan,G,35,1999,95
The Emperor's New Groove,G,35,2000,95
Scooby-Doo,PG,60,2002,86
Lilo & Stitch,PG,60,2002,95
Scooby-Doo 2: Monsters Unleashed,PG,60,2004,82
The Three Musketeers,G,35,2004,NA
Mickey's Twice Upon a Christmas,G,35,2004,NA
The Pacifier,PG,60,2005,91
Chicken Little,G,35,2005,92
Teenage Mutant Ninja Turtles,PG,60,2007,NA
Bee Movie,PG,60,2007,94
Kung Fu Panda,PG,60,2008,91
Coraline,PG,60,2009,95
Cars Toons: Mater's Tall Tales,TV-G,35,2010,74
Phineas and Ferb,TV-G,35,2012,89
Super Why!,TV-Y,10,2015,68
Jessie,TV-G,35,2015,88
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,35,2009,NA
Lab Rats,TV-Y7,41,2016,85
Masha and the Bear,TV-Y,10,2013,81
Pocoyo,TV-Y,10,2007,67
Home,PG,60,2015,94
Chuggington,TV-Y,10,2015,NA
Octonauts,TV-Y,10,2015,NA
Dragons: Race to the Edge,TV-Y7-FV,42,2017,88
Mother Goose Club,TV-Y,10,2016,NA
Little Einsteins,TV-Y,10,2007,70
Hotel Transylvania 2,PG,60,2015,93
Dawn of the Croods,TV-Y7,41,2017,72
Dinotrux,TV-Y7-FV,42,2017,NA
Goosebumps,PG,60,2015,90
Kung Fu Panda 3,PG,60,2016,92
Zootopia,PG,60,2016,97
